#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;CHINESE
Russia_East_Arkhangelsk;East Arkhangel'sk;Est d'Arkhangelsk;Ost-Archangelsk;Wschodnie Archangielsk;Este de Arcángel;Est di Arcangelo;Östra Archangelsk;Východní Archangelsk;Keleti Arhangelszk;Oost-Archangelsk;Leste de Arcangel;Восточный Архангельск;Itä-Arhangel'sk;阿尔汉格尔斯克东部
Kenya_Western_Kenya;Western Kenya;Kenya occidental;West-Kenia;Zachodnia Kenia;Kenia Occidental;Kenya Occidentale;Västra Kenya;Západní Keňa;Nyugati Kenya;West-Kenia;Quênia Ocidental;Западная Кения;Länsi-Kenia;肯尼亚西部
Kenya_Central_Kenya;Central Kenya;Kenya central;Zentral-Kenia;Środkowa Kenia;Kenia Central;Kenya Centrale;Centrala Kenya;Střední Keňa;Középső Kenya;Centraal-Kenia;Quênia Central;Центральная Кения;Keski-Kenia;肯尼亚中部
Uganda_Western_Uganda;Western Uganda;Ouganda occidental;West-Uganda;Zachodnia Uganda;Uganda Occidental;Uganda Occidentale;Västra Uganda;Západní Uganda;Nyugati Uganda;West-Oeganda;Uganda Ocidental;Западная Уганда;Länsi-Uganda;乌干达西部
Uganda_Central_Uganda;Central Uganda;Ouganda central;Zentral-Uganda;Środkowa Uganda;Uganda Central;Uganda Centrale;Centrala Uganda;Střední Uganda;Középső Uganda;Centraal-Oeganda;Uganda Central;Центральная Уганда;Keski-Uganda;乌干达中部
Uganda_Northern_Uganda;Northern Uganda;Ouganda septentrional;Nord-Uganda;Północna Uganda;Uganda Septentrional;Uganda Settentrionale;Norra Uganda;Severní Uganda;Északi Uganda;Noord-Oeganda;Uganda do Norte;Северная Уганда;Pohjois-Uganda;乌干达北部
Uganda_Eastern_Uganda;Eastern Uganda;Ouganda oriental;Ost-Uganda;Wschodnia Uganda;Uganda Oriental;Uganda Orientale;Östra Uganda;Východní Uganda;Keleti Uganda;Oost-Oeganda;Uganda Oriental;Восточная Уганда;Itä-Uganda;乌干达东部
Tanzania_Arusha;Arusha;Arusha;Arusha;Arusza;Arusha;Arusha;Arusha;Arusha;Arusha;Arusha;Arusha;Аруша;Arusha;阿鲁沙区
Tanzania_Dar-Es-Salaam;Dar-Es-Salaam;Dar es Salam;Daressalam;Dar es Salaam;Dar es Salam;Dar es Salam;Dar es Salaam;Dar es Salám;Dar es Szalám;Dar es Salaam;Dar es Salaam;Дар-эс-Салам;Dar es Salaam;达累斯萨拉姆
Tanzania_Kilimanjaro;Kilimanjaro;Kilimandjaro;Kilimandscharo;Kilimandżaro;Kilimanjaro;Kilimanjaro;Kilimanjaro;Kilimandžáro;Kilimandzsáró;Kilimanjaro;Kilimanjaro;Килиманджаро;Kilimanjaro;乞力马扎罗区
Tanzania_Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Lindi;Линди;Lindi;林迪区
Tanzania_Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Morogoro;Морогоро;Morogoro;莫罗戈罗区
Tanzania_Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Mwanza;Мванза;Mwanza;姆万扎区
Tanzania_Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Rukwa;Руква;Rukwa;鲁夸区
Tanzania_Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Tabora;Табора;Tabora;塔波拉区
Tanzania_Zanzibar;Zanzibar;Zanzibar;Sansibar;Zanzibar;Zanzíbar;Zanzibar;Zanzibar;Zanzibar;Zanzibár;Zanzibar;Zanzibar;Занзибар;Zanzibar;桑给巴尔
Malawi_Malawi;Malawi;Malawi;Malawi;Malawi;Malaui;Malawi;Malawi;Malawi;Malawi;Malawi;Malawi;Малави;Malawi;马拉维
Botswana_Central_Botswana;Central Botswana;Botswana central;Zentral-Botsuana;Środkowe Botswana;Botsuana Central;Botswana Centrale;Centrala Botswana;Střední Botswana;Középső Botswana;Centraal-Botswana;Botswana Central;Центральная Ботсвана;Keski-Botswana;博茨瓦纳中部
Botswana_Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Kweneng;Квененг;Kweneng;奎嫩区
Botswana_Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Ghanzi;Гханзи;Ghanzi;甘兹区
Botswana_Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Kgalagadi;Кгалагади;Kgalagadi;卡拉哈迪区
Botswana_Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Ngamiland;Нгамиленд;Ngamiland;恩加米兰区
Zimbabwe_Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Matabeleland;Матабелеленд;Matabeleland;马塔贝莱兰
Zimbabwe_Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Manicaland;Маникалэнд;Manicaland;马尼卡兰
Zimbabwe_Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Mashonaland;Машоналенд;Mashonaland;马绍纳兰
Zambia_Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Luapula;Луапула;Luapula;卢阿普拉省
Zambia_Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Lusaka;Лусака;Lusaka;卢萨卡省
Zambia_Northern_Zambia;Northern Zambia;Zambie septentrionale;Nord-Sambia;Północna Zambia;Zambia Septentrional;Zambia Settentrionale;Norra Zambia;Severní Zambie;Északi Zambia;Noord-Zambia;Zâmbia do Norte;Северная Замбия;Pohjois-Zambia;赞比亚北部
Zambia_North-Western_Zambia;North-Western Zambia;Zambie nord-occidentale;Nordwest-Sambia;Północno-Zachodnia Zambia;Zambia Noroccidental;Zambia Nordoccidentale;Nordvästra Zambia;Severozápadní Zambie;Északnyugati Zambia;Noordwest-Zambia;Zâmbia Noroeste;Северо-Западная Замбия;Luoteis-Zambia;赞比亚西北部
Zambia_Southern_Zambia;Southern Zambia;Zambie méridionale;Süd-Sambia;Południowa Zambia;Zambia Meridional;Zambia Meridionale;Södra Zambia;Jižní Zambie;Déli Zambia;Zuid-Zambia;Zâmbia do Sul;Южная Замбия;Etelä-Zambia;赞比亚南部
Zambia_Western_Zambia;Western Zambia;Zambie occidentale;West-Sambia;Zachodnia Zambia;Zambia Occidental;Zambia Occidentale;Västra Zambia;Západní Zambie;Nyugati Zambia;West-Zambia;Zâmbia Ocidental;Западная Замбия;Länsi-Zambia;赞比亚西部
Zambia_Central_Zambia;Central Zambia;Zambie centrale;Zentral-Sambia;Środkowa Zambia;Zambia Central;Zambia Centrale;Centrala Zambia;Střední Zambie;Középső Zambia;Centraal-Zambia;Zâmbia Central;Центральная Замбия;Keski-Zambia;赞比亚中部
Zambia_Eastern_Zambia;Eastern Zambia;Zambie orientale;Ost-Sambia;Wschodnia Zambia;Zambia Oriental;Zambia Orientale;Östra Zambia;Východní Zambie;Keleti Zambia;Oost-Zambia;Zâmbia Oriental;Восточная Замбия;Itä-Zambia;赞比亚东部
Zambia_Copperbelt;Copperbelt;Ceinture du cuivre;Kupfergürtel;Pas Miedzi;Cinturón del Cobre;Copperbelt;Kopparbältet;Měděný pás;Rézbányászati övezet;Koperbelt;Cinturão do Cobre;Медный пояс;Kuparivyöhyke;铜带省
South_Africa_Eastern_Cape;Eastern Cape;Cap-Oriental;Ostkap;Prowincja Przylądkowa Wschodnia;Cabo Oriental;Capo Orientale;Östra Kapprovinsen;Východní provincie;Keleti-fokvidék;Oost-Kaap;Cabo Oriental;Восточная Капская провинция;Itä-Kap;东开普省
South_Africa_KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZulu-Natal;KwaZoeloe-Natal;KwaZulu-Natal;Квазулу-Натал;KwaZulu-Natal;夸祖鲁-纳塔尔省
South_Africa_Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Gauteng;Гаутенг;Gauteng;豪登省
South_Africa_Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Limpopo;Лимпопо;Limpopo;林波波省
South_Africa_Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Mpumalanga;Мпумаланга;Mpumalanga;姆普马兰加省
South_Africa_Orange_Free_State;Orange Free State;État libre d'Orange;Oranje-Freistaat;Wolne Państwo Orania;Estado Libre de Orange;Stato Libero dell'Orange;Oranjefristaten;Oranjeská republika;Oranje Szabadállam;Oranje Vrijstaat;Estado Livre de Orange;Оранжевое Свободное государство;Oranjen vapaavaltio;奥兰治自由邦
South_Africa_Western_Cape;Western Cape;Cap-Occidental;Westkap;Prowincja Przylądkowa Zachodnia;Cabo Occidental;Capo Occidentale;Västra Kapprovinsen;Západní provincie;Nyugati-fokvidék;West-Kaap;Cabo Ocidental;Западная Капская провинция;Länsi-Kap;西开普省
South_Africa_Transvaal;Transvaal;Transvaal;Transvaal;Transwal;Transvaal;Transvaal;Transvaal;Transvaal;Transvaal;Transvaal;Transvaal;Трансвааль;Transvaal;德兰士瓦
South_Africa_Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Namakwa;Намаква;Namakwa;纳马夸区
South_Africa_Pixley_ka_Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Pixley ka Seme;Пиксли ка Семе;Pixley ka Seme;皮克斯利·卡·塞梅区
South_Africa_Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Siyanda;Сиянда;Siyanda;西亚恩达区
_Walvis_bay;Walvis bay;Baie de Walvis;Walvis Bay;Zatoka Walvis;Bahía de Walvis;Baia di Walvis;Walvis Bay;Záliv Walvis;Walvis-öböl;Walvisbaai;Baía de Walvis;Залив Уолвис;Walvis Bay;沃尔维斯湾
Lesotho_Lesotho;Lesotho;Lesotho;Lesotho;Lesotho;Lesoto;Lesotho;Lesotho;Lesotho;Lesotho;Lesotho;Lesoto;Лесото;Lesotho;莱索托
Swaziland_Swaziland;Swaziland;Swaziland;Swasiland;Suazi;Suazilandia;Swaziland;Swaziland;Svazijsko;Szváziföld;Swaziland;Suazilândia;Свазиленд;Swazimaa;斯威士兰
The_Gambia_The_Gambia;The Gambia;Gambie;Gambia;Gambia;Gambia;Gambia;Gambia;Gambie;Gambia;Gambia;Gâmbia;Гамбия;Gambia;冈比亚
Sierra_Leone_Sierra_Leone;Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leona;Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leone;Sierra Leone;Serra Leoa;Сьерра-Леоне;Sierra Leone;塞拉利昂
Ghana_North_Ghana;North Ghana;Ghana septentrional;Nord-Ghana;Północna Ghana;Ghana Septentrional;Ghana Settentrionale;Norra Ghana;Severní Ghana;Északi Ghána;Noord-Ghana;Gana do Norte;Северная Гана;Pohjois-Ghana;加纳北部
Ghana_South_Ghana;South Ghana;Ghana méridional;Süd-Ghana;Południowa Ghana;Ghana Meridional;Ghana Meridionale;Södra Ghana;Jižní Ghana;Déli Ghána;Zuid-Ghana;Gana do Sul;Южная Гана;Etelä-Ghana;加纳南部
Tunisia_North_Tunisia;North Tunisia;Tunisie septentrionale;Nord-Tunesien;Północna Tunezja;Túnez Septentrional;Tunisia Settentrionale;Norra Tunisien;Severní Tunisko;Északi Tunézia;Noord-Tunesië;Tunísia do Norte;Северный Тунис;Pohjois-Tunisia;突尼斯北部
Tunisia_South_Tunisia;South Tunisia;Tunisie méridionale;Süd-Tunesien;Południowa Tunezja;Túnez Meridional;Tunisia Meridionale;Södra Tunisien;Jižní Tunisko;Déli Tunézia;Zuid-Tunesië;Tunísia do Sul;Южный Тунис;Etelä-Tunisia;突尼斯南部
Algeria_Bne;Béjaïa;Béjaïa;Béjaïa;Béjaïa;Béjaïa;Béjaïa;Béjaïa;Béjaïa;Bédzsája;Béjaïa;Béjaïa;Беджая;Béjaïa;贝贾亚省
Algeria_Batna;Batna;Batna;Batna;Batna;Batna;Batna;Batna;Batna;Batna;Batna;Batna;Батна;Batna;巴特纳省
Algeria_Alger;Algiers;Alger;Algier;Argel;Argel;Algeri;Alger;Alžír;Algír;Algiers;Argel;Алжир;Alger;阿尔及尔省
Algeria_Constantine;Constantine;Constantine;Konstantine;Konstantyna;Constantina;Costantina;Constantine;Konstantina;Konstantinápoly;Constantine;Constantina;Константина;Constantine;君士坦丁省
Algeria_Mdea;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Médéa;Медея;Médéa;麦迪亚省
Algeria_Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mostaganem;Mosztaganem;Mostaganem;Mostaganem;Мостаганем;Mostaganem;莫斯塔加奈姆省
Algeria_Oran;Oran;Oran;Oran;Oran;Orán;Orano;Oran;Oran;Orán;Oran;Orã;Оран;Oran;奥兰省
Algeria_Orleansville;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Chlef;Шлеф;Chlef;舍勒夫省
Algeria_Saida;Saida;Saïda;Saïda;Saïda;Saida;Saida;Saida;Saïda;Szaida;Saïda;Saida;Саида;Saïda;赛伊达省
Algeria_Stif;Sétif;Sétif;Sétif;Sétif;Sétif;Sétif;Sétif;Sétif;Szétif;Sétif;Sétif;Сетиф;Sétif;塞提夫省
Algeria_Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Tiaret;Тиарет;Tiaret;提亚雷特省
Algeria_Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Tizi-Ouzou;Тизи-Узу;Tizi-Ouzou;提济乌祖省
Algeria_Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Tlemcen;Тлемсен;Tlemcen;特莱姆森省
Algeria_Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Адрар;Adrar;阿德拉尔省
Algeria_Bchar;Béchar;Béchar;Béchar;Béchar;Béchar;Béchar;Béchar;Béchar;Bésar;Béchar;Béchar;Бешар;Béchar;贝沙尔省
Algeria_Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Ouargla;Уаргла;Ouargla;瓦尔格拉省
Algeria_Tamanghasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Tamanrasset;Таманрассет;Tamanrasset;塔曼拉塞特省
Morocco_Tanger;Tangier;Tanger;Tanger;Tanger;Tánger;Tangeri;Tanger;Tanger;Tanger;Tanger;Tânger;Танжер;Tanger;丹吉尔-得土安
Morocco_North_Morocco;North Morocco;Maroc septentrional;Nord-Marokko;Północne Maroko;Marruecos Septentrional;Marocco Settentrionale;Norra Marocko;Severní Maroko;Északi Marokkó;Noord-Marokko;Marrocos do Norte;Северный Марокко;Pohjois-Marokko;摩洛哥北部
Morocco_South_Morocco;South Morocco;Maroc méridional;Süd-Marokko;Południowe Maroko;Marruecos Meridional;Marocco Meridionale;Södra Marocko;Jižní Maroko;Déli Marokkó;Zuid-Marokko;Marrocos do Sul;Южный Марокко;Etelä-Marokko;摩洛哥南部
Morocco_East_Morocco;East Morocco;Maroc oriental;Ost-Marokko;Wschodnie Maroko;Marruecos Oriental;Marocco Orientale;Östra Marocko;Východní Maroko;Keleti Marokkó;Oost-Marokko;Marrocos Oriental;Восточный Марокко;Itä-Marokko;摩洛哥东部
Morocco_Central_Morocco;Central Morocco;Maroc central;Zentral-Marokko;Środkowe Maroko;Marruecos Central;Marocco Centrale;Centrala Marocko;Střední Maroko;Középső Marokkó;Centraal-Marokko;Marrocos Central;Центральный Марокко;Keski-Marokko;摩洛哥中部
Mauritania_Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Adrar;Адрар;Adrar;阿德拉尔
Mauritania_Tiris_Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Tiris Zemmour;Тирис-Земмур;Tiris Zemmour;提里斯-宰穆尔
Mauritania_Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Tagant;Тагант;Tagant;塔甘特
Mauritania_Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Inchiri;Иншири;Inchiri;因希里
Mauritania_Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Nouakchott;Нуакшот;Nouakchott;努瓦克肖特
Mauritania_Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Hodh;Ход;Hodh;霍德
Mauritania_Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Assaba;Ассаба;Assaba;阿萨巴
Mauritania_Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Brakna;Бракна;Brakna;布拉克纳
Mali_Timbuktu;Timbuktu;Tombouctou;Timbuktu;Timbuktu;Tombuctú;Timbuctù;Timbuktu;Timbuktu;Timbuktu;Timboektoe;Timbuktu;Тимбукту;Timbuktu;通布图区
Mali_Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Gao;Гао;Gao;加奥区
Mali_Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Kayes;Кайес;Kayes;卡耶斯区
Mali_Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Mopti;Мопти;Mopti;莫普提区
Mali_Sgou;Ségou;Ségou;Ségou;Ségou;Ségou;Ségou;Ségou;Ségou;Szegu;Ségou;Ségou;Сегу;Ségou;塞古区
Mali_Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Sikasso;Сикасо;Sikasso;锡卡索区
Mali_Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Kidal;Кидаль;Kidal;基达尔区
Mali_Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Koulikoro;Куликоро;Koulikoro;库利科罗区
Mali_Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Goundam;Гундам;Goundam;贡达姆
Guinea_East_Guinea;East Guinea;Guinée orientale;Ost-Guinea;Wschodnia Gwinea;Guinea Oriental;Guinea Orientale;Östra Guinea;Východní Guinea;Keleti Guinea;Oost-Guinee;Guiné Oriental;Восточная Гвинея;Itä-Guinea;几内亚东部
Guinea_West_Guinea;West Guinea;Guinée occidentale;West-Guinea;Zachodnia Gwinea;Guinea Occidental;Guinea Occidentale;Västra Guinea;Západní Guinea;Nyugati Guinea;West-Guinee;Guiné Ocidental;Западная Гвинея;Länsi-Guinea;几内亚西部
Cote_dIvoire_Abidjan;Abidjan;Abidjan;Abidjan;Abidżan;Abiyán;Abidjan;Abidjan;Abidžan;Abidjan;Abidjan;Abidjan;Абиджан;Abidjan;阿比让
Cote_dIvoire_Bouake;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Bouaké;Буаке;Bouaké;布瓦凯
Cote_dIvoire_Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamusukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Yamoussoukro;Ямусукро;Yamoussoukro;亚穆苏克罗
Cote_dIvoire_Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Korhogo;Корого;Korhogo;科霍戈
Togo_Togo;Togo;Togo;Togo;Togo;Togo;Togo;Togo;Togo;Togo;Togo;Togo;Того;Togo;多哥
Niger_Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Diffa;Диффа;Diffa;迪法大区
Niger_East_Agadez;East Agadez;Agadez oriental;Ost-Agadez;Wschodni Agadez;Agadez Oriental;Agadez Orientale;Östra Agadez;Východní Agadez;Keleti Agadez;Oost-Agadez;Agadez Oriental;Восточный Агадес;Itä-Agadez;阿加德兹东部
Niger_Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Maradi;Маради;Maradi;马拉迪大区
Niger_West_Agadez;West Agadez;Agadez occidental;West-Agadez;Zachodni Agadez;Agadez Occidental;Agadez Occidentale;Västra Agadez;Západní Agadez;Nyugati Agadez;West-Agadez;Agadez Ocidental;Западный Агадес;Länsi-Agadez;阿加德兹西部
Niger_Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Dosso;Доссо;Dosso;多索大区
Niger_Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Tahoua;Тахуа;Tahoua;塔瓦大区
Niger_Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Zinder;Зиндер;Zinder;津德尔大区
Niger_Tillabry;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Tillabéri;Тиллабери;Tillabéri;蒂拉贝里大区
Burkina_Faso_East_Burkina_Faso;East Burkina Faso;Burkina Faso oriental;Ost-Burkina Faso;Wschodnie Burkina Faso;Burkina Faso Oriental;Burkina Faso Orientale;Östra Burkina Faso;Východní Burkina Faso;Keleti Burkina Faso;Oost-Burkina Faso;Burkina Faso Oriental;Восточная Буркина-Фасо;Itä-Burkina Faso;布基纳法索东部
Burkina_Faso_West_Burkina_Faso;West Burkina Faso;Burkina Faso occidental;West-Burkina Faso;Zachodnie Burkina Faso;Burkina Faso Occidental;Burkina Faso Occidentale;Västra Burkina Faso;Západní Burkina Faso;Nyugati Burkina Faso;West-Burkina Faso;Burkina Faso Ocidental;Западная Буркина-Фасо;Länsi-Burkina Faso;布基纳法索西部
Benin_Benin;Benin;Bénin;Benin;Benin;Benín;Benin;Benin;Benin;Benin;Benin;Benin;Бенин;Benin;贝宁
Gabon_Ogooue;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Ogooué;Огове;Ogooué;奥果韦
Gabon_Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Libreville;Либревиль;Libreville;利伯维尔
Cameroon_British_South_Cameroon;British South Cameroon;Cameroun méridional britannique;Britisch-Südkamerun;Brytyjskie Południowe Kameruny;Camerún Meridional Británico;Camerun Meridionale Britannico;Brittiska södra Kamerun;Britské jižní Kameruny;Brit Dél-Kamerun;Brits Zuid-Kameroen;Camarões do Sul Britânicos;Британский Южный Камерун;Brittiläinen Etelä-Kamerun;英属南喀麦隆
Cameroon_Nord_Cameroon;Nord Cameroon;Nord-Cameroun;Nordkamerun;Północny Kamerun;Norte de Camerún;Nord del Camerun;Nordkamerun;Severní Kamerun;Északi Kamerun;Noord-Kameroen;Norte dos Camarões;Северный Камерун;Pohjois-Kamerun;喀麦隆北部
Cameroon_Centre_Cameroon;Centre Cameroon;Cameroun central;Zentralkamerun;Środkowy Kamerun;Centro de Camerún;Centro del Camerun;Centrala Kamerun;Střední Kamerun;Középső Kamerun;Centraal-Kameroen;Centro dos Camarões;Центральный Камерун;Keski-Kamerun;喀麦隆中部
Cameroon_Est_Cameroon;Est Cameroon;Est-Cameroun;Ostkamerun;Wschodni Kamerun;Este de Camerún;Est del Camerun;Östra Kamerun;Východní Kamerun;Keleti Kamerun;Oost-Kameroen;Leste dos Camarões;Восточный Камерун;Itä-Kamerun;喀麦隆东部
Republic_of_Congo_Nord_du_Congo;Nord du Congo;Nord du Congo;Nordkongo;Północne Kongo;Norte del Congo;Nord del Congo;Nordkongo;Severní Kongo;Északi Kongó;Noord-Congo;Norte do Congo;Северное Конго;Pohjois-Kongo;刚果北部
Republic_of_Congo_Plateaux_du_Congo;Plateaux du Congo;Plateaux du Congo;Kongo-Plateaus;Wyżyny Konga;Mesetas del Congo;Altopiani del Congo;Kongo högplatå;Kongské plošiny;Kongói-fennsík;Plateaux du Congo;Planaltos do Congo;Плато Конго;Kongon ylängöt;刚果高原
Republic_of_Congo_lOuest_du_Congo;l'Ouest du Congo;Ouest du Congo;Westkongo;Zachodnie Kongo;Oeste del Congo;Ovest del Congo;Västkongo;Západní Kongo;Nyugati Kongó;West-Congo;Oeste do Congo;Западное Конго;Länsi-Kongo;刚果西部
Central_African_Republic_Mambere;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Mambéré;Мамбере;Mambéré;曼贝雷-卡代
Central_African_Republic_Kemo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Kémo;Кемо;Kémo;凯莫
